Pair ID,Dataset,Language model,Specificity,Words,Readability score,Cosine similarity
pair_0,collaborative_ssd_case_inspection,qwen3:32b,1,18,94.565,0.6950480468569161
pair_1,collaborative_ssd_case_inspection,qwen3:32b,1,21,88.83428571428574,0.6061032181989394
pair_2,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.6320257287002886
pair_3,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.6510592946331428
pair_4,collaborative_ssd_case_inspection,qwen3:32b,1,14,89.89642857142859,0.5658251521157383
pair_5,collaborative_ssd_case_inspection,qwen3:32b,1,19,67.32894736842107,0.7251355709411388
pair_6,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7100469468046933
pair_7,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7195920781292547
pair_8,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7100469468046933
pair_9,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8112086463534662
pair_10,collaborative_ssd_case_inspection,qwen3:32b,1,38,94.04473684210527,0.6735753140545634
pair_11,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7195920781292547
pair_12,collaborative_ssd_case_inspection,qwen3:32b,1,9,66.10000000000002,0.7149203529842405
pair_13,collaborative_ssd_case_inspection,qwen3:32b,1,19,76.2342105263158,0.7165056047862716
pair_14,collaborative_ssd_case_inspection,qwen3:32b,1,20,86.70500000000001,0.7372097807744858
pair_15,collaborative_ssd_case_inspection,qwen3:32b,1,20,63.86500000000004,0.48074312940079456
pair_16,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7149203529842405
pair_17,collaborative_ssd_case_inspection,qwen3:32b,1,17,100.00352941176472,0.6079187588743288
pair_18,collaborative_ssd_case_inspection,qwen3:32b,1,17,95.02705882352943,0.7284927963857741
pair_19,collaborative_ssd_case_inspection,qwen3:32b,1,19,94.04473684210527,0.6148754619013456
pair_20,collaborative_ssd_case_inspection,qwen3:32b,1,18,94.565,0.7100469468046932
pair_21,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8126045083289422
pair_22,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.6934760925288563
pair_23,collaborative_ssd_case_inspection,qwen3:32b,1,22,69.14136363636365,0.6673251030411489
pair_24,collaborative_ssd_case_inspection,qwen3:32b,1,22,92.21409090909091,0.7488452649040593
pair_25,collaborative_ssd_case_inspection,qwen3:32b,1,13,96.02461538461542,0.6677805632941779
pair_26,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7236272269866326
pair_27,collaborative_ssd_case_inspection,qwen3:32b,1,19,67.32894736842107,0.7180786296659396
pair_28,collaborative_ssd_case_inspection,qwen3:32b,1,19,85.13947368421054,0.7832758944079431
pair_29,collaborative_ssd_case_inspection,qwen3:32b,1,19,85.13947368421054,0.7781677541251477
pair_30,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8112086463534662
pair_31,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7149203529842405
pair_32,collaborative_ssd_case_inspection,qwen3:32b,1,19,67.32894736842107,0.492056280281487
pair_33,collaborative_ssd_case_inspection,qwen3:32b,1,18,94.565,0.6950480468569161
pair_34,collaborative_ssd_case_inspection,qwen3:32b,1,20,89.24500000000003,0.5539117094069973
pair_35,collaborative_ssd_case_inspection,qwen3:32b,1,21,92.86285714285715,0.6810052246069989
pair_36,collaborative_ssd_case_inspection,qwen3:32b,1,17,80.09764705882354,0.6993177985805744
pair_37,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7100469468046933
pair_38,collaborative_ssd_case_inspection,qwen3:32b,1,19,85.13947368421054,0.7832758944079431
pair_39,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7100469468046933
pair_40,collaborative_ssd_case_inspection,qwen3:32b,1,17,75.12117647058825,0.598986047129063
pair_41,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7077760731311633
pair_42,collaborative_ssd_case_inspection,qwen3:32b,1,16,74.27000000000001,0.6262126856349296
pair_43,collaborative_ssd_case_inspection,qwen3:32b,1,23,58.429130434782635,0.4016349698710441
pair_44,collaborative_ssd_case_inspection,qwen3:32b,1,21,72.72000000000003,0.6883333617524349
pair_45,collaborative_ssd_case_inspection,qwen3:32b,1,17,80.09764705882354,0.6922186552431729
pair_46,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7195920781292547
pair_47,collaborative_ssd_case_inspection,qwen3:32b,1,22,61.45045454545455,0.6042179781166439
pair_48,collaborative_ssd_case_inspection,qwen3:32b,1,20,89.24500000000003,0.5275043787166297
pair_49,collaborative_ssd_case_inspection,qwen3:32b,1,21,92.86285714285715,0.7365695637359871
pair_50,collaborative_ssd_case_inspection,qwen3:32b,1,19,80.68684210526318,0.7092993656151907
pair_51,collaborative_ssd_case_inspection,qwen3:32b,1,19,94.04473684210527,0.7406560798180412
pair_52,collaborative_ssd_case_inspection,qwen3:32b,1,19,67.32894736842107,0.48237870076329087
pair_53,collaborative_ssd_case_inspection,qwen3:32b,1,19,94.04473684210527,0.5554920598635309
pair_54,collaborative_ssd_case_inspection,qwen3:32b,1,18,66.36500000000001,0.5391291361472075
pair_55,collaborative_ssd_case_inspection,qwen3:32b,1,22,92.21409090909091,0.5612486080160912
pair_56,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8126045083289422
pair_57,collaborative_ssd_case_inspection,qwen3:32b,1,20,80.78500000000003,0.7176371380087273
pair_58,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7149203529842405
pair_59,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8112086463534662
pair_60,collaborative_ssd_case_inspection,qwen3:32b,1,16,84.845,0.68383685937623
pair_61,collaborative_ssd_case_inspection,qwen3:32b,1,19,67.32894736842107,0.5179539792436706
pair_62,collaborative_ssd_case_inspection,qwen3:32b,1,18,94.565,0.5907908398283787
pair_63,collaborative_ssd_case_inspection,qwen3:32b,1,18,71.06500000000001,0.6534393241407961
pair_64,collaborative_ssd_case_inspection,qwen3:32b,1,20,97.70500000000003,0.6132223631495078
pair_65,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8112086463534662
pair_66,collaborative_ssd_case_inspection,qwen3:32b,1,24,74.805,0.4330127018922194
pair_67,collaborative_ssd_case_inspection,qwen3:32b,1,15,78.81000000000003,0.6620247118789143
pair_68,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7100469468046933
pair_69,collaborative_ssd_case_inspection,qwen3:32b,1,24,73.20000000000002,0.6419286834280313
pair_70,collaborative_ssd_case_inspection,qwen3:32b,1,13,83.0092307692308,0.7149203529842405
pair_71,collaborative_ssd_case_inspection,qwen3:32b,1,21,83.37750000000003,0.6325567492115718
pair_72,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8126045083289422
pair_73,collaborative_ssd_case_inspection,qwen3:32b,1,18,71.06500000000001,0.490079493105597
pair_74,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7149203529842405
pair_75,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7149203529842405
pair_76,collaborative_ssd_case_inspection,qwen3:32b,1,17,100.00352941176472,0.7137742529753551
pair_77,collaborative_ssd_case_inspection,qwen3:32b,1,21,76.74857142857144,0.7268155677785233
pair_78,collaborative_ssd_case_inspection,qwen3:32b,1,17,90.05058823529413,0.5246313898711125
pair_79,collaborative_ssd_case_inspection,qwen3:32b,1,15,84.45000000000003,0.7149203529842405
pair_80,collaborative_ssd_case_inspection,qwen3:32b,1,20,97.70500000000003,0.6379052256590135
pair_81,collaborative_ssd_case_inspection,qwen3:32b,1,18,75.76500000000001,0.5675043538391658
pair_82,collaborative_ssd_case_inspection,qwen3:32b,1,22,69.14136363636365,0.6831774462179528
pair_83,collaborative_ssd_case_inspection,qwen3:32b,1,19,62.87631578947371,0.5523681766661074
pair_84,collaborative_ssd_case_inspection,qwen3:32b,1,16,79.5575,0.6713450866373514
pair_85,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.8126045083289422
pair_86,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7895725166701286
pair_87,collaborative_ssd_case_inspection,qwen3:32b,1,18,85.16499999999999,0.7336739820667779
pair_88,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7366351076087241
pair_89,collaborative_ssd_case_inspection,qwen3:32b,1,20,93.47500000000002,0.7423700965986483
pair_90,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7366351076087241
pair_91,collaborative_ssd_case_inspection,qwen3:32b,1,23,80.49869565217392,0.6816229165476879
pair_92,collaborative_ssd_case_inspection,qwen3:32b,1,21,64.66285714285716,0.6235382907247956
pair_93,collaborative_ssd_case_inspection,qwen3:32b,1,20,68.09500000000004,0.573924897781842
pair_94,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7307313144845058
pair_95,collaborative_ssd_case_inspection,qwen3:32b,1,22,96.05954545454546,0.7359800721939874
pair_96,collaborative_ssd_case_inspection,qwen3:32b,1,23,76.82043478260871,0.6340751391209735
pair_97,collaborative_ssd_case_inspection,qwen3:32b,1,21,84.8057142857143,0.7883602747994004
pair_98,collaborative_ssd_case_inspection,qwen3:32b,1,21,68.69142857142859,0.5542562584220405
pair_99,collaborative_ssd_case_inspection,qwen3:32b,1,23,91.53347826086959,0.7444375004781977
pair_100,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7307313144845059
pair_101,collaborative_ssd_case_inspection,qwen3:32b,1,22,92.21409090909091,0.7576144084141582
pair_102,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.724979178280424
pair_103,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7307313144845058
pair_104,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.724979178280424
pair_105,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7307313144845058
pair_106,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.724979178280424
pair_107,collaborative_ssd_case_inspection,qwen3:32b,1,19,67.32894736842107,0.6363961030678927
pair_108,collaborative_ssd_case_inspection,qwen3:32b,1,22,92.21409090909091,0.8020767218098107
pair_109,collaborative_ssd_case_inspection,qwen3:32b,1,22,92.21409090909091,0.7576144084141581
pair_110,collaborative_ssd_case_inspection,qwen3:32b,1,22,92.21409090909091,0.7198740330653559
pair_111,collaborative_ssd_case_inspection,qwen3:32b,1,19,85.13947368421054,0.7945466303660768
pair_112,collaborative_ssd_case_inspection,qwen3:32b,1,22,92.21409090909091,0.7359800721939875
pair_113,collaborative_ssd_case_inspection,qwen3:32b,1,17,85.07411764705884,0.7307313144845058
pair_114,collaborative_ssd_case_inspection,qwen3:32b,1,18,85.16499999999999,0.7278253428740511
pair_115,collaborative_ssd_case_inspection,qwen3:32b,1,22,69.14136363636365,0.6221710168382552
